SYMBOL,ISIN
ATHERENERG,INE0LEZ01016
WELCORP,INE191B01025
SBC,INE04AK01028
SANSERA,INE953O01021
RPEL,INE912T01018
CPPLUS,INE819V01029
RPTECH,INE0J1F01024
HAPPYFORGE,INE330T01021
ARFIN,INE784R01023
LAURUSLABS,INE947Q01028
TDPOWERSYS,INE419M01035
SHILPAMED,INE790G01031
AETHER,INE0BWX01014
TMB,INE668A01016
KIRLOSENG,INE146L01010
AVALON,INE0LCL01028
MARINE,INE01JE01028
RRKABEL,INE777K01022
FEDERALBNK,INE171A01029
GRWRHITECH,INE291A01017
PAISALO,INE420C01059
SKYGOLD,INE01IU01018
KTKBANK,INE614B01018
GRANULES,INE101D01020
BHEL,INE257A01026
ACUTAAS,INE00FF01025
TFCILTD,INE305A01023
MCX,INE745G01043
APARINDS,INE372A01015
ANANDRATHI,INE463V01026
STYLAMIND,INE239C01020
BHARATFORG,INE465A01025
ARVIND,INE034A01011
SENORES,INE0RB801010
BAJAJCON,INE933K01021
WHEELS,INE715A01015
SONACOMS,INE073K01018
IDEA,INE669E01016
SAILIFE,INE570L01029
CHENNPETRO,INE178A01016
SETL,INE0M4D01010
MBAPL,INE900L01028
INOXINDIA,INE616N01034
PARAS,INE045601023
SBCL,INE386D01027
SYRMA,INE0DYJ01015
NAVINFLUOR,INE048G01026
IOLCP,INE485C01029
MARKSANS,INE750C01026
MOTHERSON,INE775A01035
AUROPHARMA,INE406A01037
SHRIRAMFIN,INE721A01047
DCBBANK,INE503A01015
SJS,INE284S01014
CYIENTDLM,INE055S01018
DIVISLAB,INE361B01024
SHRIPISTON,INE526E01018
AKUMS,INE09XN01023
RBLBANK,INE976G01028
HONASA,INE0J5401028
PTCIL,INE596F01018
RATNAVEER,INE05CZ01011
AZAD,INE02IJ01035
ADANIENSOL,INE931S01010
NEULANDLAB,INE794A01010
SGFIN,INE618R01015
BELRISE,INE894V01022
GAEL,INE036B01030
SAIL,INE114A01011
BLSE,INE0NLT01010
AEGISLOG,INE208C01025
PRICOLLTD,INE726V01018
ADANIPOWER,INE814H01029
MAHABANK,INE457A01014
SOTL,INE035D01020
RADICO,INE944F01028
KARURVYSYA,INE036D01028
TITAN,INE280A01028
WELENT,INE625G01013
SSWL,INE802C01033
DYNAMATECH,INE221B01012
DATAPATTNS,INE0IX101010
WELSPUNLIV,INE192B01031
GNA,INE934S01014
TORNTPHARM,INE685A01028
PGIL,INE940H01022
MUFIN,INE08KJ01020
GANDHAR,INE717W01049
BAJAJ-AUTO,INE917I01010
ABB,INE117A01022
RATEGAIN,INE0CLI01024
CRAFTSMAN,INE00LO01017
NYKAA,INE388Y01029
ASTRAMICRO,INE386C01029
SOLARINDS,INE343H01029
VIJAYA,INE043W01024
GLAND,INE068V01023
RISHABH,INE0N2P01017
VARROC,INE665L01035
HINDALCO,INE038A01020
CEMPRO,INE686A01026
AUBANK,INE949L01017
VTL,INE825A01020
SOUTHBANK,INE683A01023
MSTCLTD,INE255X01014
NRBBEARING,INE349A01021
PNBHOUSING,INE572E01012
LUMAXTECH,INE872H01027
AJANTPHARM,INE031B01049
VADILALIND,INE694D01016
EBGNG,INE18JU01028
POWERINDIA,INE07Y701011
CUB,INE491A01021
GVT&D,INE200A01026
KRN,INE0Q3J01015
UNIONBANK,INE692A01016
JAYNECOIND,INE854B01010
ABCAPITAL,INE674K01013
ENTERO,INE010601016
AIAENG,INE212H01026
CEIGALL,INE0AG901020
BSE,INE118H01025
MINDACORP,INE842C01021
FINCABLES,INE235A01022
HSCL,INE019C01026
LTF,INE498L01015
KRISHANA,INE506W01020
OFSS,INE881D01027
BBOX,INE676A01027
JINDALSAW,INE324A01032
THELEELA,INE0AQ201015
STARHEALTH,INE575P01011
CGCL,INE180C01042
FLUOROCHEM,INE09N301011
GESHIP,INE017A01032
REDINGTON,INE891D01026
APLAPOLLO,INE702C01027
NATIONALUM,INE139A01034
UJJIVANSFB,INE551W01018
IPCALAB,INE571A01038
J&KBANK,INE168A01041
EQUITASBNK,INE063P01018
PRIVISCL,INE959A01019
VIYASH,INE807F01027
CUMMINSIND,INE298A01020
INDUSINDBK,INE095A01012
LLOYDSME,INE281B01032
M&MFIN,INE774D01024
CAPLIPOINT,INE475E01026
ACMESOLAR,INE622W01025
NESTLEIND,INE239A01024
IIFL,INE530B01024
SIEMENS,INE003A01024
ASTERDM,INE914M01019
NAM-INDIA,INE298J01013
HIRECT,INE835D01023
JSWSTEEL,INE019A01038
ADANIPORTS,INE742F01042
SANDHAR,INE278H01035
ENGINERSIN,INE510A01028
FILATEX,INE816B01035
SHAILY,INE151G01028
TVSMOTOR,INE494B01023
NUVAMA,INE531F01023
SUNPHARMA,INE044A01036
QUESS,INE615P01015
VOLTAMP,INE540H01012
SPAL,INE212I01016
USHAMART,INE228A01035
PHOENIXLTD,INE211B01039
CGPOWER,INE067A01029
NEOGEN,INE136S01016
MANORAMA,INE00VM01036
IMFA,INE919H01018
YATHARTH,INE0JO301016
GLENMARK,INE935A01035
HINDZINC,INE267A01025
EICHERMOT,INE066A01021
BLUESTONE,INE304W01038
PANAMAPET,INE305C01029
ELGIEQUIP,INE285A01027
THYROCARE,INE594H01019
GRAPHITE,INE371A01025
SUNDRMFAST,INE387A01021
SCI,INE109A01011
ADANIGREEN,INE364U01010
ZYDUSWELL,INE768C01028
DEEPINDS,INE0FHS01024
CCL,INE421D01022
ASIANENE,INE276G01015
IDFCFIRSTB,INE092T01019
MARICO,INE196A01026
MANAPPURAM,INE522D01027
AARTIIND,INE769A01020
UNIMECH,INE0U3I01011
EMCURE,INE168P01015
GRASIM,INE047A01021
EMIL,INE02YR01019
POLYCAB,INE455K01017
RKFORGE,INE399G01023
WABAG,INE956G01038
PAYTM,INE982J01020
SCHNEIDER,INE839M01018
CENTUM,INE320B01020
ADANIENT,INE423A01024
CHOLAFIN,INE121A01024
ASKAUTOLTD,INE491J01022
GMDCLTD,INE131A01031
SAMMAANCAP,INE148I01020
NAZARA,INE418L01047
AXISCADES,INE555B01013
SANDUMA,INE149K01016
GRINDWELL,INE536A01023
OIL,INE274J01014
NMDC,INE584A01023
YESBANK,INE528G01035
TBOTEK,INE673O01025
V2RETAIL,INE945H01021
RBA,INE07T201019
BEPL,INE922A01025
ZYDUSLIFE,INE010B01027
BOSCHLTD,INE323A01026
BALRAMCHIN,INE119A01028
ABSLAMC,INE404A01024
BAJFINANCE,INE296A01032
KIRLPNU,INE811A01038
WOCKPHARMA,INE049B01025
APOLLOHOSP,INE437A01024
STOVEKRAFT,INE00IN01015
EDELWEISS,INE532F01054
LLOYDSENGG,INE093R01011
ROLEXRINGS,INE645S01024
SANGHVIMOV,INE989A01032
UNITDSPR,INE854D01024
SUPRIYA,INE07RO01027
OBEROIRLTY,INE093I01010
STAR,INE939A01011
VENUSPIPES,INE0JA001018
CARBORUNIV,INE120A01034
GOODLUCK,INE127I01024
SBIN,INE062A01020
TATATECH,INE142M01025
LALPATHLAB,INE600L01024
AVL,INE679V01027
ANGELONE,INE732I01021
NORTHARC,INE850M01015
INDIANB,INE562A01011
ZENTEC,INE251B01027
KEI,INE878B01027
MOSCHIP,INE935B01025
SHYAMMETL,INE810G01011
JAMNAAUTO,INE039C01032
RAYMOND,INE301A01014
LT,INE018A01030
KPRMILL,INE930H01031
PNB,INE160A01022
ABDL,INE552Z01027
NSLNISP,INE0NNS01018
BIOCON,INE376G01013
ANTHEM,INE0CZ201020
NLCINDIA,INE589A01014
BANKINDIA,INE084A01016
TI,INE133E01013
MRPL,INE103A01014
AXISBANK,INE238A01034
KPIL,INE220B01022
THERMAX,INE152A01029
FUSION,INE139R01012
GABRIEL,INE524A01029
JSWINFRA,INE880J01026
ASHOKLEY,INE208A01029
PPLPHARMA,INE0DK501011
ANANTRAJ,INE242C01024
VINCOFE,INE498Q01014
GNFC,INE113A01013
INOXGREEN,INE510W01014
TIPSMUSIC,INE716B01029
KALYANKJIL,INE303R01014
TATASTEEL,INE081A01020
FEDFINA,INE007N01010
COFORGE,INE591G01025
KOTAKBANK,INE237A01036
IKS,INE115Q01022
CANBK,INE476A01022
METROPOLIS,INE112L01020
NELCO,INE045B01015
HAL,INE066F01020
PVRINOX,INE191H01014
JINDALSTEL,INE749A01030
GMRAIRPORT,INE776C01039
MOTILALOFS,INE338I01027
ACE,INE731H01025
COALINDIA,INE522F01014
LUPIN,INE326A01037
AEGISVOPAK,INE0INX01018
PETRONET,INE347G01014
PIDILITIND,INE318A01026
TATACOMM,INE151A01013
INDGN,INE065X01017
JKPAPER,INE789E01012
JYOTICNC,INE980O01024
BEL,INE263A01024
TECHM,INE669C01036
TIMKEN,INE325A01013
EXIDEIND,INE302A01020
360ONE,INE466L01038
MIDHANI,INE099Z01011
TRITURBINE,INE152M01016
JSFB,INE953L01027
GLAXO,INE159A01016
JKTYRE,INE573A01042
ANURAS,INE930P01018
ZFCVINDIA,INE342J01019
NIBE,INE149O01018
NH,INE410P01011
GPPL,INE517F01014
EPL,INE255A01020
AGIIL,INE976R01033
INDUSTOWER,INE121J01017
JSWENERGY,INE121E01018
CANFINHOME,INE477A01020
SHANTIGOLD,INE06ZD01017
RELIGARE,INE621H01010
PERSISTENT,INE262H01021
SAMBHV,INE12NJ01018
CREDITACC,INE741K01010
JINDRILL,INE742C01031
3MINDIA,INE470A01017
MUTHOOTFIN,INE414G01012
ASTRAL,INE006I01046
PNGJL,INE953R01016
SKIPPER,INE439E01022
POCL,INE063E01061
BEML,INE258A01024
KIMS,INE967H01025
BAJAJHIND,INE306A01021
SAREGAMA,INE979A01025
SOLARA,INE624Z01016
POONAWALLA,INE511C01022
BAJAJFINSV,INE918I01026
AARTIPHARM,INE0LRU01027
ATUL,INE100A01010
AVANTEL,INE005B01027
KAJARIACER,INE217B01036
ASIANPAINT,INE021A01026
PICCADIL,INE546C01010
MEDANTA,INE474Q01031
VIMTALABS,INE579C01029
GAIL,INE129A01019
ETERNAL,INE758T01015
SAGILITY,INE0W2G01015
POLICYBZR,INE417T01026
NIACL,INE470Y01017
ICICIBANK,INE090A01021
JBMA,INE927D01051
GPIL,INE177H01039
LTFOODS,INE818H01020
GRAVITA,INE024L01027
BRIGADE,INE791I01019
LLOYDSENT,INE080I01025
PRESTIGE,INE811K01011
CAMS,INE596I01020
SCHAEFFLER,INE513A01022
FORTIS,INE061F01013
MMTC,INE123F01029
RELIANCE,INE002A01018
SJVN,INE002L01015
PROTEAN,INE004A01022
IDBI,INE008A01015
INFY,INE009A01021
SWIGGY,INE00H001014
DALBHARAT,INE00R701025
ACC,INE012A01025
DABUR,INE016A01026
SBICARD,INE018E01016
VMM,INE01EA01019
RECLTD,INE020B01018
ASIANTILES,INE022I01019
IEX,INE022Q01020
MAXHEALTH,INE027H01010
BANKBARODA,INE028A01039
BPCL,INE029A01011
FIRSTCRY,INE02RE01045
HINDUNILVR,INE030A01027
HUDCO,INE031A01017
GODIGIT,INE03JT01014
HDFCBANK,INE040A01034
ESCORTS,INE042A01014
KPITTECH,INE04I401011
IRFC,INE053F01010
INOXWIND,INE066P01011
SHREECEM,INE070A01015
WIPRO,INE075A01022
AMBUJACEM,INE079A01024
DRREDDY,INE089A01031
TATACHEM,INE092A01019
HINDPETRO,INE094A01015
UTIAMC,INE094J01016
NBCC,INE095N01031
MAPMYINDIA,INE0BV301023
OSWALPUMPS,INE0BYP01024
RAILTEL,INE0DD101019
MSUMI,INE0FS801015
EPACK,INE0G5901015
LATENTVIEW,INE0I7C01011
DCXINDIA,INE0KL801015
IGIL,INE0Q9301021
M&M,INE101A01026
AFCONS,INE101I01011
GODREJCP,INE102D01028
SBILIFE,INE123W01016
EIDPARRY,INE126A01031
HDFCAMC,INE127D01025
AURIONPRO,INE132H01018
PFC,INE134E01011
KFINTECH,INE138Y01010
BLS,INE153T01027
ITC,INE154A01025
HEROMOTOCO,INE158A01026
COROMANDEL,INE169A01031
BDL,INE171Z01026
BATAINDIA,INE176A01028
HAVELLS,INE176B01034
PGHH,INE179A01014
MFSL,INE180A01020
PFIZER,INE182A01018
TATACONSUM,INE192A01025
GRMOVER,INE192H01020
DMART,INE192R01011
SUPREMEIND,INE195A01028
PNCINFRA,INE195J01029
VBL,INE200M01039
IREDA,INE202E01016
IGL,INE203G01027
JWL,INE209L01016
ONGC,INE213A01029
BRITANNIA,INE216A01030
SHARDACROP,INE221J01015
VOLTAS,INE226A01021
IOC,INE242A01010
TATAPOWER,INE245A01021
MAZDOCK,INE249Z01020
COLPAL,INE259A01022
GODFRYPHLP,INE260B01028
TECHNOE,INE285K01026
CROMPTON,INE299U01018
GILLETTE,INE322A01010
RAMCOCEM,INE331A01037
IRCTC,INE335Y01020
BHARTIHEXA,INE343G01021
