RANK,SYMBOL,NAME,SECTOR,ISIN,SERIES,CLOSE,SCORE,WEIGHT_PCT,R12_PCT,R12_SKIP_PCT,R6_PCT,R3_PCT,VOLATILITY_PCT,VOL_RANK_PCT,VAM,AGREE,ATH,ATH_DATE,FROM_ATH_PCT,ADTV_CR,STALE_SESSIONS,FROZEN_RATE,ELIGIBLE
1,SBC,SBC Exports Limited,,INE04AK01028,EQ,49.23,5.2223,7.34,125.4121,133.627,54.4713,18.3983,25.588,0.1016,5.2223,1.0,49.24,2026-09-18,-0.02,38.17,0,0.0,HAAN
2,SANSERA,Sansera Engineering Limited,Automobile and Auto Components,INE953O01021,EQ,4586.5,4.4405,6.24,224.3635,183.9114,108.591,46.9749,41.4164,0.6511,4.4405,1.0,4586.5,2026-09-22,0.0,93.12,0,0.0,HAAN
3,ATHERENERG,Ather Energy Limited,Automobile and Auto Components,INE0LEZ01016,EQ,1543.8,4.4298,6.23,184.5452,214.1083,105.7851,53.3449,48.3333,0.8142,4.4298,1.0,1725.6,2026-09-01,-10.54,705.71,0,0.0,HAAN
4,WELCORP,Welspun Corp Limited,Capital Goods,INE191B01025,EQ,2731.5,4.4254,6.22,210.4859,184.2018,232.4813,92.8481,41.6235,0.6578,4.4254,1.0,2776.9,2026-09-10,-1.63,424.3,0,0.0,HAAN
5,LAURUSLABS,Laurus Labs Limited,Healthcare,INE947Q01028,EQ,2006.5,4.0068,5.63,123.9272,118.8043,104.037,35.4828,29.6508,0.2447,4.0068,1.0,2017.5,2026-09-21,-0.55,481.61,0,0.0,HAAN
6,CPPLUS,Aditya Infotech Limited,Capital Goods,INE819V01029,EQ,3649.5,3.8563,5.42,154.3206,167.7533,116.729,2.4766,43.501,0.7059,3.8563,1.0,3899.1,2026-08-12,-6.4,86.7,0,0.0,HAAN
7,RPTECH,Rashi Peripherals Limited,,INE0J1F01024,EQ,883.55,3.8445,5.4,193.6358,169.375,153.384,20.1292,44.0566,0.7139,3.8445,1.0,902.85,2026-08-05,-2.14,53.03,0,0.0,HAAN
8,WHEELS,Wheels India Limited,,INE715A01015,EQ,2174.0,3.8197,5.37,192.7355,190.8011,123.3753,36.635,49.9514,0.8516,3.8197,1.0,2400.6,2026-09-09,-9.44,74.34,0,0.0,HAAN
9,SKYGOLD,SKY GOLD AND DIAMONDS LIMITED,Consumer Durables,INE01IU01018,EQ,802.55,3.7857,5.32,184.3401,182.9898,126.5171,60.8317,48.3377,0.8155,3.7857,1.0,848.1,2026-08-26,-5.37,82.97,0,0.0,HAAN
10,HAPPYFORGE,Happy Forgings Limited,,INE330T01021,EQ,2108.5,3.7684,5.3,125.0988,134.1593,63.4243,35.7782,35.6013,0.4425,3.7684,1.0,2420.4,2026-09-01,-12.89,18.84,0,0.0,HAAN
11,PAISALO,Paisalo Digital Limited,,INE420C01059,EQ,93.43,3.3935,4.77,145.6099,144.2035,171.0473,57.2366,42.494,0.6765,3.3935,1.0,95.45,2024-03-02,-2.12,126.97,0,0.0,HAAN
12,FEDERALBNK,The Federal Bank  Limited,Financial Services,INE171A01029,EQ,327.0,3.1123,4.37,68.2445,80.0336,20.442,2.2194,25.7156,0.1056,3.1123,1.0,371.7,2026-08-03,-12.03,210.57,0,0.0,HAAN
13,ARFIN,Arfin India Limited,,INE784R01023,EQ,89.28,3.0411,4.27,106.7145,116.7715,17.6595,-4.0,38.3974,0.5508,3.0411,1.0,99.77,2026-05-12,-10.51,14.84,0,0.0,HAAN
14,KIRLOSENG,Kirloskar Oil Engines Limited,Capital Goods,INE146L01010,EQ,2165.0,2.9592,4.16,144.2739,135.6145,50.808,-13.5521,45.8286,0.766,2.9592,1.0,2563.6,2026-06-24,-15.55,134.03,0,0.0,HAAN
15,AETHER,Aether Industries Limited,Chemicals,INE0BWX01014,EQ,1643.5,2.9357,4.13,124.1085,113.4853,53.8066,32.0929,38.6568,0.5615,2.9357,1.0,1696.8,2026-08-28,-3.14,56.06,0,0.0,HAAN
16,STYLAMIND,Stylam Industries Limited,,INE239C01020,EQ,3309.4,2.8938,4.07,91.6937,97.9488,49.3614,5.3278,33.8481,0.3877,2.8938,1.0,3736.4,2026-08-18,-11.43,28.01,0,0.0,HAAN
17,MCX,Multi Commodity Exchange of India Limited,Financial Services,INE745G01043,EQ,3262.6,2.8637,4.02,111.0759,108.6319,25.3352,15.2455,37.9335,0.5241,2.8637,1.0,3441.7,2026-05-20,-5.2,747.79,0,0.0,HAAN
18,RPEL,Raghav Productivity Enhancers Limited,,INE912T01018,EQ,1742.3,2.8046,3.94,157.242,145.6135,164.4858,44.5592,51.9189,0.8837,2.8046,1.0,1885.2,2026-09-03,-7.58,15.68,0,0.0,HAAN
